ResourceValueID,ResourceKeyID,CultureCode,ResourceValue,ChangedDate
42595,5888,en-GB,Croatia,2016-02-18 15:23:49
42596,5889,en-GB,Adriatic Croatia,2016-02-18 15:23:49
42597,5890,en-GB,County of Primorje-Gorski Kotar,2016-02-18 15:23:49
42598,5891,en-GB,County of Lika-Senj,2016-02-18 15:23:49
42599,5892,en-GB,County of Zadar,2016-02-18 15:23:49
42600,5893,en-GB,County of Šibenik-Knin,2016-02-18 15:23:49
42601,5894,en-GB,County of Split-Dalmatia,2016-02-18 15:23:49
42602,5895,en-GB,County of Istria,2016-02-18 15:23:49
42603,5896,en-GB,County of Dubrovnik-Neretva,2016-02-18 15:23:49
42604,5897,en-GB,Continental Croatia,2016-02-18 15:23:49
42605,5898,en-GB,City of Zagreb,2016-02-18 15:23:49
42606,5899,en-GB,County of Zagreb,2016-02-18 15:23:49
42607,5900,en-GB,County of Krapina-Zagorje,2016-02-18 15:23:49
42608,5901,en-GB,County of Varaždin,2016-02-18 15:23:49
42609,5902,en-GB,County of Koprivnica-Križevci,2016-02-18 15:23:50
42610,5903,en-GB,County of Medimurje,2016-02-18 15:23:50
42611,5904,en-GB,County of Bjelovar-Bilogora,2016-02-18 15:23:50
42612,5905,en-GB,County of Virovitica-Podravina,2016-02-18 15:23:50
42613,5906,en-GB,County of Požega-Slavonia,2016-02-18 15:23:50
42614,5907,en-GB,County of Brod-Posavina,2016-02-18 15:23:50
42615,5908,en-GB,County of Osijek-Baranja,2016-02-18 15:23:50
42616,5909,en-GB,County of Vukovar-Srijem,2016-02-18 15:23:50
42617,5910,en-GB,County of Karlovac,2016-02-18 15:23:50
42618,5911,en-GB,County of Sisak-Moslavina,2016-02-18 15:23:50
42619,5912,en-GB,EXTRA-REGIO NUTS 1,2016-02-18 15:23:50
42620,5913,en-GB,Extra-Regio NUTS 2,2016-02-18 15:23:50
